0,0.0
1,0.2486898871648548
2,0.4817536741017153
3,0.6845471059286886
4,0.8443279255020151
5,0.9510565162951535
6,0.9980267284282716
7,0.9822872507286886
8,0.9048270524660195
9,0.7705132427757893
10,0.5877852522924732
11,0.36812455268467814
12,0.12533323356430454
13,-0.1253332335643043
14,-0.36812455268467836
15,-0.587785252292473
16,-0.7705132427757894
17,-0.9048270524660198
18,-0.9822872507286887
19,-0.9980267284282716
20,-0.9510565162951536
21,-0.8443279255020155
22,-0.684547105928689
23,-0.4817536741017153
24,-0.24868988716485535
